ticker,name,sector,asset_type,current_price,market_cap,revenue,net_income,total_equity,net_debt,roe,net_margin,debt_ebitda,ev_ebitda,net_income_growth_yoy,pe_ratio,pb_ratio,dividend_yield,dividend_growth_yoy,score,score_label
LWSA3,LOCAWEB ON NM,Programas e Serviços,stock,374.0,2126420000.0,1502420000.0,-218743000.0,2343110000.0,-302571000.0,-0.93,-1.46,,,,,91.0,0.82,,37.5,Regular
MAGG3,MAGNESITA REFRATÁRIOS ON,,stock,5940.0,2972380000.0,4345440000.0,-24773000.0,2246130000.0,1711250000.0,-0.11,-0.06,,,,,,0.0,,24.65,Fraco
MAGS3,MAGNESITA S/A ON,,stock,6245.0,2656950000.0,1198560000.0,108474000.0,848546000.0,-148048000.0,1.28,0.89,,,,,,0.0,,52.5,Bom
MAPT3,CIA MARCOPOLO ON,Outros,stock,252.0,2315880.0,0.0,-104000.0,-6578000.0,0.0,0.16,0.0,,,,,,0.0,,43.75,Regular
MAPT4,CIA MARCOPOLO PN,Outros,stock,300.0,2757000.0,0.0,-104000.0,-6578000.0,0.0,0.16,0.0,,,,,,0.0,,43.75,Regular
MARI3,Marisa ON NM,Comércio,stock,293.0,540594000.0,1561560000.0,177606000.0,706711000.0,-10416000.0,2.51,,,,,304.0,76.0,0.0,,52.5,Bom
MATD3,MATER DEI ON NM,Serv.Méd.Hospit. Análises e Diagnósticos,stock,525.0,1751130000.0,2250930000.0,123785000.0,1498780000.0,781024000.0,0.83,0.55,,,0.022072,,,0.29,,68.31,Bom
MBRF3,MARFRIG ON NM,Alimentos Processados,stock,1742.0,24421400000.0,164011000000.0,381580000.0,11423900000.0,49658900000.0,0.33,0.02,,,-0.580217,,,0.99,,53.0,Bom
MDIA3,M.DIASBRANCO ON NM,Alimentos Processados,stock,1995.0,6763050000.0,10445900000.0,696730000.0,8361040000.0,-519389000.0,0.83,0.67,,,0.110471,,81.0,0.53,,80.0,Excelente
MDNE3,MOURA DUBEUX ON NM,Construção Civil,stock,2740.0,2855460000.0,2545800000.0,506355000.0,2115670000.0,83592000.0,2.39,,,,0.583365,,,,,67.5,Bom
MEAL3,IMC S/A ON NM,Hoteis e Restaurantes,stock,100.0,286677000.0,1582080000.0,-184435000.0,769498000.0,193192000.0,-2.4,-1.17,,,,-155.0,37.0,0.0,,24.0,Fraco
MEDI3,MEDIAL SAUDE ON NM,Serv.Méd.Hospit. Análises e Diagnósticos,stock,1155.0,805497000.0,2151880000.0,-107109000.0,426164000.0,-221401000.0,-2.51,-0.5,,,,,,0.0,,24.0,Fraco
MELK3,MELNICK ON NM,Construção Civil,stock,321.0,662125000.0,1212590000.0,123669000.0,1077730000.0,468048000.0,1.15,,,,0.099193,,61.0,,,67.38,Bom
MEND5,MENDES JUNIOR ENGENHARIA S/A PNA,,stock,650.0,67008500.0,2340000.0,-530337000.0,-16533400000.0,13947800000.0,0.32,,,,,-13.0,,0.0,,44.0,Regular
MEND6,MENDES JUNIOR ENGENHARIA S/A PNB,,stock,950.0,97935500.0,2340000.0,-530337000.0,-16533400000.0,13947800000.0,0.32,,,,,-18.0,,0.0,,44.0,Regular
MERC3,MERCANTIL BRASIL ON,Intermediários Financeiros,stock,1528.0,626404000.0,,31453000.0,589733000.0,,0.53,0.0,,,,,,0.12,,53.75,Bom
MERC4,MERCANTIL BRASIL PN,Intermediários Financeiros,stock,1625.0,666169000.0,,31453000.0,589733000.0,,0.53,0.0,,,,,,0.33,,53.75,Bom
MGEL3,MANGELS ON,Siderurgia e Metalurgia,stock,2500.0,144580000.0,1084520000.0,42735000.0,50865000.0,501703000.0,,0.39,,,,338.0,,0.0,,47.5,Regular
MGEL4,MANGELS PN N1,Siderurgia e Metalurgia,stock,573.0,33137800.0,1084520000.0,42735000.0,50865000.0,501703000.0,,0.39,,,,78.0,65.0,0.0,,47.5,Regular
MGLU3,MAGAZ LUIZA ON NM,Comércio,stock,679.0,5268670000.0,38520100000.0,136615000.0,11271100000.0,3435310000.0,0.12,0.04,,,,,47.0,0.12,,56.36,Bom
MILK33,Laep DR3 DR3,,stock,30.0,12861600.0,167786000.0,-852490000.0,-516285000.0,19174000.0,,,,,,-2.0,,0.0,,44.0,Regular
MILS3,MILLS ON NM,Diversos,stock,1269.0,2971720000.0,1886660000.0,430022000.0,1777790000.0,1151270000.0,2.42,,,,0.115887,,,0.84,,72.5,Bom
MLAS3,MULTILASER ON NM,Computadores e Equipamentos,stock,155.0,1271840000.0,4032690000.0,180706000.0,3089240000.0,-190882000.0,0.58,0.45,,,0.106553,,41.0,0.33,,80.0,Excelente
MLFT4,IGUATEMI S.A PN,Exploração de Imóveis,stock,2239.0,46506200000.0,1532140000.0,712611000.0,4869720000.0,1908460000.0,1.46,,,,,,,0.0,,52.5,Bom
MLPA12,MELHORAMENTOS PAPEIS PN,Madeira e Papel,stock,4000.0,187680.0,225429000.0,20117000.0,44578000.0,-31171000.0,4.51,0.89,,,,1.0,,0.0,,72.5,Bom
MLPA4,MELHORAMENTOS PAPEIS PN,Madeira e Papel,stock,4500.0,211140.0,225429000.0,20117000.0,44578000.0,-31171000.0,4.51,0.89,,,,1.0,,0.0,,72.5,Bom
MMAQ3,MINASMÁQUINAS S/A ON,Comércio,stock,255001.0,94350400.0,1366420000.0,42672000.0,253943000.0,10186000.0,1.68,0.31,,,-0.02656,221.0,37.0,0.0,,53.35,Bom
MMAQ4,MINASMÁQUINAS S/A PN,Comércio,stock,255001.0,94350400.0,1366420000.0,42672000.0,253943000.0,10186000.0,1.68,0.31,,,-0.02656,221.0,37.0,,,55.85,Bom
MMXM3,MMX MINER ON NM,Mineração,stock,1400.0,90832000.0,0.0,-41920000.0,-842661000.0,269671000.0,0.5,0.0,,,,-217.0,,0.0,,42.75,Regular
MNDL3,MUNDIAL S/A ON,"Tecidos, Vestuário e Calçados",stock,1590.0,157744000.0,1009750000.0,-37327000.0,115327000.0,493561000.0,-3.24,-0.37,,,,-423.0,,0.0,,24.0,Fraco
